Name,Keyword,Snippet,Category
FM Char,;fmchar,Char (  ),Text
FM Code,;fmcode,Code (  ),Text
FM Exact,;fmexact,Exact (  ),Text
FM Filter,;fmfilter,Filter ( textToFilter ; filterText ),Text
FM FilterValues,;fmfiltervals,FilterValues ( textToFilter ; filterValues ),Text
FM GetAsCSS,;fmgetascss,GetAsCSS (  ),Text
FM GetAsDate,;fmasdate,GetAsDate ( expression ),Text
FM GetAsNumber,;fmasnum,GetAsNumber ( expression ),Text
FM GetAsSVG,;fmgetassvg,GetAsSVG (  ),Text
FM GetAsText,;fmastext,GetAsText ( expression ),Text
FM GetAsTime,;fmgetastime,GetAsTime (  ),Text
FM GetAsTimestamp,;fmasts,GetAsTimestamp ( expression ),Text
FM GetAsURLEncoded,;fmgetasurlencoded,GetAsURLEncoded (  ),Text
FM GetValue,;fmgetvalue,GetValue ( listOfValues ; valueNumber ),Text
FM Left,;fmleft,Left ( text ; numberOfCharacters ),Text
FM LeftValues,;fmleftvalues,LeftValues (  ),Text
FM LeftWords,;fmleftwords,LeftWords ( text ; numberOfWords ),Text
FM Length,;fmlength,Length (  ),Text
FM Lower,;fmlower,Lower ( text ),Text
FM Middle,;fmmid,Middle ( text ; start ; numberOfCharacters ),Text
FM MiddleValues,;fmmiddlevalues,MiddleValues (  ),Text
FM MiddleWords,;fmmiddlewords,MiddleWords (  ),Text
FM PatternCount,;fmpattern,PatternCount ( text ; searchString ),Text
FM Position,;fmpos,Position ( text ; searchString ; start ; occurrence ),Text
FM Proper,;fmproper,Proper ( text ),Text
FM Quote,;fmquote,Quote ( text ),Text
FM Replace,;fmreplace,Replace (  ),Text
FM Right,;fmright,Right ( text ; numberOfCharacters ),Text
FM RightValues,;fmrightvalues,RightValues (  ),Text
FM RightWords,;fmrightwords,RightWords (  ),Text
FM SerialIncrement,;fmserialincrement,SerialIncrement (  ),Text
FM SortValues,;fmsortvals,SortValues ( listOfValues ; dataType ; locale ),Text
FM Substitute,;fmsub,Substitute ( text ; [ searchString ; replacementString ] ),Text
FM Trim,;fmtrim,Trim ( text ),Text
FM TrimAll,;fmtrimall,TrimAll (  ),Text
FM UniqueValues,;fmunique,UniqueValues ( listOfValues ),Text
FM Upper,;fmupper,Upper ( text ),Text
FM ValueCount,;fmvaluecount,ValueCount ( listOfValues ),Text
FM WordCount,;fmwordcount,WordCount (  ),Text
FM RGB,;fmrgb,RGB (  ),Text Formatting
FM TextColor,;fmtextcolor,TextColor (  ),Text Formatting
FM TextColorRemove,;fmtextcolorremove,TextColorRemove (  ),Text Formatting
FM TextFont,;fmtextfont,TextFont (  ),Text Formatting
FM TextFontRemove,;fmtextfontremove,TextFontRemove (  ),Text Formatting
FM TextFormatRemove,;fmtextformatremove,TextFormatRemove (  ),Text Formatting
FM TextSize,;fmtextsize,TextSize (  ),Text Formatting
FM TextSizeRemove,;fmtextsizeremove,TextSizeRemove (  ),Text Formatting
FM TextStyleAdd,;fmtextstyleadd,TextStyleAdd (  ),Text Formatting
FM TextStyleRemove,;fmtextstyleremove,TextStyleRemove (  ),Text Formatting
FM Abs,;fmabs,Abs ( number ),Number
FM Ceiling,;fmceil,Ceiling ( number ),Number
FM Combination,;fmcombination,Combination (  ),Number
FM Div,;fmdiv,Div (  ),Number
FM Exp,;fmexp,Exp (  ),Number
FM Factorial,;fmfactorial,Factorial (  ),Number
FM Floor,;fmfloor,Floor ( number ),Number
FM Int,;fmint,Int (  ),Number
FM Lg,;fmlg,Lg (  ),Number
FM Ln,;fmln,Ln (  ),Number
FM Log,;fmlog,Log (  ),Number
FM Mod,;fmmod,Mod ( number ; divisor ),Number
FM Random,;fmrandom,Random,Number
FM Round,;fmround,Round ( number ; precision ),Number
FM SetPrecision,;fmsetprecision,SetPrecision (  ),Number
FM Sign,;fmsign,Sign (  ),Number
FM Sqrt,;fmsqrt,Sqrt (  ),Number
FM Truncate,;fmtruncate,Truncate (  ),Number
FM Date,;fmdatefn,Date ( month ; day ; year ),Date
FM Day,;fmday,Day (  ),Date
FM DayName,;fmdayname,DayName (  ),Date
FM DayOfWeek,;fmdayofweek,DayOfWeek (  ),Date
FM DayOfYear,;fmdayofyear,DayOfYear (  ),Date
FM Month,;fmmonth,Month (  ),Date
FM MonthName,;fmmonthname,MonthName (  ),Date
FM WeekOfYear,;fmweekofyear,WeekOfYear (  ),Date
FM WeekOfYearFiscal,;fmweekofyearfiscal,WeekOfYearFiscal (  ),Date
FM Year,;fmyear,Year (  ),Date
FM Hour,;fmhour,Hour (  ),Time
FM Minute,;fmminute,Minute (  ),Time
FM Seconds,;fmseconds,Seconds (  ),Time
FM Time,;fmtimefn,Time ( hours ; minutes ; seconds ),Time
FM Timestamp,;fmtimestamp,Timestamp ( date ; time ),Timestamp
FM Base64Decode,;fmbase64decode,Base64Decode (  ),Container
FM Base64Encode,;fmbase64encode,Base64Encode (  ),Container
FM Base64EncodeRFC,;fmbase64encoderfc,Base64EncodeRFC (  ),Container
FM CryptAuthCode,;fmcryptauthcode,CryptAuthCode (  ),Container
FM CryptDecrypt,;fmcryptdecrypt,CryptDecrypt (  ),Container
FM CryptDecryptBase64,;fmcryptdecryptbase64,CryptDecryptBase64 (  ),Container
FM CryptDigest,;fmcryptdigest,CryptDigest (  ),Container
FM CryptEncrypt,;fmcryptencrypt,CryptEncrypt (  ),Container
FM CryptEncryptBase64,;fmcryptencryptbase64,CryptEncryptBase64 (  ),Container
FM CryptGenerateSignature,;fmcryptgeneratesignature,CryptGenerateSignature (  ),Container
FM CryptVerifySignature,;fmcryptverifysignature,CryptVerifySignature (  ),Container
FM GetContainerAttribute,;fmgetcontainerattribute,GetContainerAttribute (  ),Container
FM GetHeight,;fmgetheight,GetHeight (  ),Container
FM GetLiveText,;fmgetlivetext,GetLiveText (  ),Container
